time (days)	flux            flux_noiseless	in_transit (yes/no)
0.44305556	1.00010628	1.00000000	0
0.44444444	1.00030957	1.00000000	0
0.44583333	0.99983255	1.00000000	0
0.44722222	1.00024936	1.00000000	0
0.44861111	0.99955497	1.00000000	0
0.45000000	0.99981914	1.00000000	0
0.45138889	0.99948779	1.00000000	0
0.45277778	1.00056588	1.00000000	0
0.45416667	0.99998646	1.00000000	0
0.45555556	0.99963035	1.00000000	0
0.45694444	0.99982381	1.00000000	0
0.45833333	0.99988914	1.00000000	0
0.45972222	1.00035026	1.00000000	0
0.46111111	0.99920218	1.00000000	0
0.46250000	0.99948140	1.00000000	0
0.46388889	0.99981095	1.00000000	0
0.46527778	1.00126615	1.00000000	0
0.46666667	1.00047784	1.00000000	0
0.46805556	0.99994427	1.00000000	0
0.46944444	1.00035600	1.00000000	0
0.47083333	1.00102872	1.00000000	0
0.47222222	0.99988313	1.00000000	0
0.47361111	0.99981679	1.00000000	0
0.47500000	1.00060597	1.00000000	0
0.47638889	1.00024709	1.00000000	0
0.47777778	1.00033567	1.00000000	0
0.47916667	0.99974589	1.00000000	0
0.48055556	1.00096210	1.00000000	0
0.48194444	1.00085480	1.00000000	0
0.48333333	1.00028297	1.00000000	0
0.48472222	1.00034214	1.00000000	0
0.48611111	0.99898637	1.00000000	0
0.48750000	1.00031885	1.00000000	0
0.48888889	0.99990295	1.00000000	0
0.49027778	1.00021695	1.00000000	0
0.49166667	1.00034123	1.00000000	0
0.49305556	0.99982935	1.00000000	0
0.49444444	0.99915476	1.00000000	0
0.49583333	1.00018394	1.00000000	0
0.49722222	0.99962931	1.00000000	0
0.49861111	0.99983490	1.00000000	0
